75000,38,4153,13,45,870,13,322,2916
75001,38,19891,16,246,1061,17,482,4174
75002,13,18058,13,8,19,18,314,4177
75003,13,12179,18,8,19,18,322,6372
75004,20,19891,18,355,774,18,340,6429
75005,38,19891,11,246,945,15,90,4861
75006,29,3942,580,258,1074,18,257,5648
75007,29,13612,3,172,1074,18,351,3303
75008,38,19891,6,45,130,0,258,3491
75009,34,4405,6,53,155,18,398,5541
75010,38,14532,4,45,130,0,368,7333
75011,38,11634,14,45,497,2,368,7573
75012,29,16543,12,334,1074,18,21,8090
75013,38,19891,26,246,1061,17,322,8611
75014,20,13517,20,355,1034,18,340,10030
75015,11,19891,21,202,1074,18,493,10259
75016,38,14472,16,246,1061,17,319,2991
75017,20,19891,11,355,180,18,340,4393
75018,29,4201,2,172,1074,18,328,3303
75019,0,19864,16,192,943,18,90,3464
75020,38,11661,30,246,764,15,340,4570
75021,13,14872,13,8,19,18,319,4698
75022,20,9308,16,355,180,18,360,4670
75023,38,1801,16,45,634,7,239,5263
75024,38,1801,14,45,634,7,368,5263
75025,20,19891,28,355,180,18,340,10124
75026,13,13751,13,8,290,18,398,10530
75027,29,1195,7,377,1074,18,331,10561
75028,0,6236,25,192,548,18,206,225
75029,38,19891,6,45,130,0,258,6353
75030,29,743,14,91,1074,18,331,10561
75031,38,19891,26,45,877,13,239,5045
75032,20,5700,39,318,134,18,1,4440
75033,13,19891,21,31,475,18,43,2543
75034,13,19891,21,31,416,18,43,2241
75035,38,5144,21,45,783,13,351,7430
75036,15,5896,216,284,1074,18,345,8758
75037,13,5607,44,61,169,18,86,10230
75038,38,19744,16,45,840,1,343,10646
75039,13,19891,36,31,391,18,43,2853
75040,13,19891,62,31,704,18,43,2614
75041,38,19942,36,45,656,10,398,3541
75042,38,2658,64,246,175,17,322,105
75043,38,19891,24,246,1061,17,90,176
75044,20,14816,36,175,383,18,398,374
75045,20,4588,26,175,383,18,398,727
75046,38,19891,13,246,1061,17,319,757
75047,20,4763,36,175,383,18,398,1307
75048,20,18150,35,236,937,18,321,1890
75049,38,19891,20,45,867,10,465,1201
75050,13,4651,635,61,169,18,86,9649
75051,13,2380,61,61,169,18,86,10086
75052,29,4035,11,334,1074,18,328,10561
75053,20,11607,22,175,383,18,90,7052
75054,13,6431,76,61,169,18,86,5570
75055,13,19891,21,274,49,18,336,5863
75056,13,7547,666,61,169,18,86,6034
75057,20,15185,37,175,383,18,398,6138
75058,20,2309,28,175,383,18,398,6138
75059,13,13685,41,61,169,18,322,6186
75060,20,19891,46,55,567,18,359,7684
75061,15,19775,66,204,1074,18,345,6621
75062,38,19891,24,391,1063,3,261,6793
75063,38,18392,33,45,783,13,90,10528
75064,13,3510,42,274,319,18,351,3915
75065,38,7972,54,45,254,7,90,4310
75066,13,10335,28,274,319,18,342,2364
75067,13,14166,673,31,425,18,43,2490
75068,13,19891,15,274,277,18,351,3052
75069,38,10917,31,246,361,17,322,5467
75070,38,4825,46,45,681,1,43,5477
75071,34,8245,5,238,127,18,148,945
75072,38,19006,61,45,783,13,319,601
75073,7,7489,12,52,1074,18,368,1657
75074,7,625,31,43,1074,18,74,301
75075,7,15255,22,69,1074,18,74,5814
75076,20,4148,26,55,217,18,340,6520
75077,38,16786,17,391,1063,3,482,9205
75078,20,3962,51,55,567,18,359,9316
75079,38,19891,21,391,1063,3,407,6793
75080,20,19891,21,55,566,18,340,7684
75081,38,3615,22,246,764,15,340,8506
75082,38,19891,18,45,145,8,322,10445
75083,34,19891,13,53,586,18,340,10666
75084,38,19866,38,45,602,1,322,1345
75085,34,19891,24,238,930,18,441,4153
75086,7,11359,16,52,1074,18,90,4236
75087,38,19590,19,45,631,8,57,4814
75088,13,9303,636,274,319,18,351,2857
75089,13,19891,16,31,505,18,43,2044
75090,34,4927,8,238,645,18,148,1040
75091,34,4070,11,238,753,18,488,1029
75092,38,19891,15,381,1046,18,351,1174
75093,38,19891,21,381,1046,18,90,3986
75094,38,19891,25,45,838,1,90,1543
75095,38,19891,10,381,581,18,351,9845
75096,38,6236,26,45,822,14,360,7404
75097,34,15911,71,118,786,18,4,7619
75098,34,18402,7,238,127,18,148,140
75099,34,19891,6,58,1040,18,488,1616
75100,0,13722,14,192,548,18,368,9043
75101,34,1302,6,238,753,18,429,4407
75102,34,13174,6,238,1041,18,427,972
75103,20,19891,49,355,931,18,349,9476
75104,0,19891,11,192,548,18,420,899
75105,13,19891,8,31,95,18,43,2151
75106,0,14514,21,192,548,18,43,1656
75107,34,4067,6,238,753,18,488,1029
75108,34,13898,3,58,1040,18,494,3935
75109,38,19891,14,45,656,10,57,2956
75110,34,19205,10,238,645,18,494,7351
75111,38,10720,24,45,736,14,340,5257
75112,34,4048,8,238,1044,18,149,4290
75113,38,4535,21,45,912,14,340,6992
75114,38,2447,11,381,1046,18,351,9148
75115,13,1371,501,31,523,18,43,2381
75116,13,1371,508,31,523,18,43,2435
75117,13,1371,96,31,523,18,43,2199
75118,13,1371,512,31,523,18,43,2493
75119,13,1371,513,31,523,18,43,2079
75120,20,16243,490,308,857,18,368,61
75121,38,19891,6,228,650,18,345,882
75122,29,5792,6,5,1074,18,328,1591
75123,20,17323,489,308,857,18,281,576
75124,38,19891,20,45,145,8,322,6487
75125,38,19891,3,45,574,1,90,5268
75126,1,977,18,395,522,18,345,6178
75127,20,8428,13,308,857,18,281,6726
75128,20,15471,18,308,857,18,340,6763
75129,20,9873,18,308,857,18,482,6763
75130,34,15902,20,238,753,18,427,6648
75131,29,15177,467,375,1074,18,330,7139
75132,28,17630,18,386,1074,18,345,7123
75133,6,7063,11,244,655,18,157,7814
75134,20,15507,7,308,857,18,281,9375
75135,20,14428,9,308,857,18,351,9375
75136,20,2994,10,308,857,18,281,9991
75137,13,12415,487,24,78,18,145,10131
75138,20,2673,477,308,857,18,340,10291
75139,20,16204,33,308,857,18,340,8780
75140,38,19891,34,45,634,7,57,8433
75141,7,7484,14,181,1074,18,57,7058
75142,38,5871,18,45,354,1,90,1874
75143,38,6236,45,45,335,7,340,43
75144,20,4127,482,308,857,18,175,61
75145,38,7022,15,230,375,4,345,1211
75146,29,2643,486,91,1074,18,328,1281
75147,20,9522,4,308,857,18,340,1340
75148,20,17351,11,308,857,18,81,1340
